Column1,Column2,Column3,Column4,Column5,Column6
,,,,,
"Statistical table extracted on February 12, 2026 (14:19:13)",,,,,
http://www.ine.pt,,,,,
,,,,,
,,,,,
,,,,,
Data reference period,Place of residence at Census date [2021] (NUTS - 2024),"Resident population (No.) by Place of residence at Census date [2021] (NUTS - 2024), Sex and Age -  Decennial",,,
,,Sex,,,
,,MF,M,F,
,,Age,,,
,,Total,,,
,,No. ,No. ,No. ,
,030297: União das freguesias de Creixomil e Mariz,1112,545,567,
,030298: União das freguesias de Durrães e Tregosa,1379,671,708,
,030299: União das freguesias de Gamil e Midões,1377,668,709,
,"0302FA: União das freguesias de Milhazes, Vilar de Figos e Faria",1993,921,1072,
,0302FB: União das freguesias de Negreiros e Chavão,2203,1060,1143,
,0302FC: União das freguesias de Quintiães e Aguiar,1080,521,559,
,0302FD: União das freguesias de Sequeade e Bastuço (São João e Santo Estevão),1808,900,908,
,0302FE: União das freguesias de Silveiros e Rio Covo (Santa Eulália),2098,982,1116,
,0302FF: União das freguesias de Tamel (Santa Leocádia) e Vilar do Monte,1269,614,655,
,"0302FG: União das freguesias de Viatodos, Grimancelos, Minhotães e Monte de Fralães",3744,1784,1960,
,0302FH: União das freguesias de Vila Cova e Feitos,2449,1163,1286,
,030283: Várzea,1934,942,992,
,030287: Vila Seca,1064,493,571,
,0303: Braga,193324,92102,101222,
,030301: Adaúfe,3587,1748,1839,
,030349: Braga (São Vicente),13974,6545,7429,
,030351: Braga (São Vítor),32876,15366,17510,
,030312: Espinho,1057,517,540,
,030313: Esporões,1713,831,882,
,030315: Figueiredo,1150,567,583,
,030319: Gualtar,6761,3252,3509,
,030322: Lamas,852,431,421,
,030325: Mire de Tibães,2344,1155,1189,
,030330: Padim da Graça,1416,683,733,
,030331: Palmeira,5700,2815,2885,
,030334: Pedralva,1060,504,556,
,030336: Priscos,1256,606,650,
,030338: Ruilhe,1110,522,588,
,030354: Sequeira,1741,845,896,
,030355: Sobreposta,1267,621,646,
,030356: Tadim,1267,618,649,
,030357: Tebosa,1081,533,548,
,030363: União das freguesias de Arentim e Cunha,1406,685,721,
,"030364: União das freguesias de Braga (Maximinos, Sé e Cividade)",15087,7053,8034,
,030365: União das freguesias de Braga (São José de São Lázaro e São João do Souto),14791,6717,8074,
,030366: União das freguesias de Cabreiros e Passos (São Julião),2082,1001,1081,
,"030367: União das freguesias de Celeirós, Aveleda e Vimieiro",6742,3332,3410,
,030368: União das freguesias de Crespos e Pousada,1231,603,628,
,030369: União das freguesias de Escudeiros e Penso (Santo Estêvão e São Vicente),1823,915,908,
,030370: União das freguesias de Este (São Pedro e São Mamede),4066,1987,2079,
,030371: União das freguesias de Ferreiros e Gondizalves,9976,4776,5200,
,030372: União das freguesias de Guisande e Oliveira (São Pedro),1072,519,553,
,030373: União das freguesias de Lomar e Arcos,7265,3547,3718,
,"030374: União das freguesias de Merelim (São Paio), Panoias e Parada de Tibães",5258,2591,2667,
,030375: União das freguesias de Merelim (São Pedro) e Frossos,3845,1885,1960,
,030376: União das freguesias de Morreira e Trandeiras,1364,668,696,
,"030377: União das freguesias de Nogueira, Fraião e Lamaçães",15015,7248,7767,
,030378: União das freguesias de Nogueiró e Tenões,5946,2632,3314,
